	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MORC4	364.088611021135	1.18807902286445	0.126855193155545	9.36563173576717	7.55966865837353e-21	9.48473273271628e-20
MORN3	174.440698802086	-1.00701423925044	0.257935927375486	-3.90412553030853	9.45666902084853e-05	0.000193846592322351
MOSPD2	336.807115415306	2.2142938136203	0.195385797101009	11.3329312901673	9.01367509909143e-30	3.2394474386501e-28
MOSPD3	1004.74294497964	-1.14527676430877	0.148253604955831	-7.72511916084587	1.11748756675737e-14	6.85647935854083e-14
Mpdz	789.46520018034	1.66290598363731	0.184291294014649	9.02324763917022	1.82594206862623e-19	1.96135760472127e-18
MPP5	641.356492972918	1.44585947382301	0.153734641177794	9.40490355814389	5.20779429810725e-21	6.6313155540965e-20
MPP6	1136.53239761198	2.20759182702177	0.214246476617298	10.3039819458274	6.76036594921634e-25	1.43431653835649e-23
MPP7	1249.84405857627	1.43837708124445	0.14827415895189	9.70079406561429	2.99161190835115e-22	4.47635937492775e-21
MPV17L2	543.627607315979	-1.04741978719498	0.140224867426802	-7.46957231207041	8.04558864371318e-14	4.51998701671279e-13
Mpzl2	2399.35698567265	1.80617283394093	0.369486325612602	4.88833471968504	1.0169252259643e-06	2.62059705575186e-06
MPZL3	95.4307135675218	1.37509207699736	0.320391116745589	4.29191698872622	1.77137174728574e-05	3.96727434722616e-05
MRE11	548.991877397374	1.17755407200325	0.1269054809536	9.27898514039592	1.71100448644941e-20	2.06259177198784e-19
MROH8	31.0645935437633	-3.89406283666543	0.51441853316605	-7.56983387184548	3.73701819363406e-14	2.16182075421133e-13
Mrpl10	1277.24320960609	-1.42696085202776	0.161075754755993	-8.8589425155226	8.07770074086924e-19	8.01103757550294e-18
Mrpl12	1945.64398823826	-1.31310210073336	0.161299520255342	-8.14076879245938	3.92775814732121e-16	2.85658514525271e-15
MRPL14	1689.0862010942	-1.55813586179138	0.152892110582909	-10.1910808599012	2.1733426200228e-24	4.33597356435677e-23
Mrpl20	1321.27773651274	-1.21452885463293	0.14158037709271	-8.57836996604149	9.62270169208274e-18	8.38619815453919e-17
Mrpl21	713.53382901078	-1.00823303908353	0.159374508561998	-6.32618759537269	2.51292289984509e-10	9.54650038167874e-10
MRPL23	1954.81453021267	-1.35107851061911	0.147613176909032	-9.15283133193267	5.54605338427868e-20	6.31921430792405e-19
MRPL27	1125.63758246004	-1.45713570943706	0.169551160635372	-8.59407687907666	8.39368171875066e-18	7.36098131116435e-17
MRPL34	1865.63192752088	-1.33399362482336	0.121487205200096	-10.9805277241023	4.74145819068846e-28	1.42447480252285e-26
Mrpl36	1968.13368852409	-1.36790833130816	0.143315716089547	-9.54471964856572	1.36476227942842e-21	1.874354766265e-20
MRPL37	1330.91556006183	-1.16123210475993	0.173817196378682	-6.68076651190505	2.37695680308679e-11	1.01280746662274e-10
MRPL43	1826.01593015337	-1.11537919880582	0.131210032198983	-8.50071583790421	1.8842510602854e-17	1.5907546547371e-16
MRPL54	958.486485465067	-1.19288207714877	0.178705788026779	-6.67511718741878	2.47034686590375e-11	1.05056332572108e-10
MRPL55	1021.21298958801	-1.58937355268142	0.171469896650157	-9.26911127685671	1.8770333971417e-20	2.24863923012722e-19
MRPS11	812.846636034498	-1.2944852666894	0.16753680960156	-7.72657226652442	1.10481091027253e-14	6.7814051962538e-14
Mrps12	664.538875645937	-1.19426395645826	0.17496640029622	-6.82567598371093	8.75122483252167e-12	3.91312035970489e-11
MRPS16	1199.8607777433	-1.25368504918587	0.151620776491188	-8.26855710806053	1.35589953587423e-16	1.03918518489375e-15
MRPS18A	1200.45334679029	-1.52493386667494	0.165919934012825	-9.19078154019193	3.8999740150741e-20	4.51727411896611e-19
MRPS18B	540.383672168838	-1.3389666237694	0.14442228931771	-9.27119096432444	1.84078871971569e-20	2.20865928913157e-19
MRPS2	901.937616138514	-1.14009179010668	0.13368578335412	-8.52814533828696	1.48712632415347e-17	1.26661002868929e-16
MRPS25	933.558500224335	-1.47596115734227	0.163983938772212	-9.00064462649912	2.24396195490378e-19	2.37881618127704e-18
MRPS26	619.519901149643	-1.0021922970897	0.139734741071305	-7.17210544354384	7.38530220074448e-13	3.71365539234559e-12
MRPS34	1028.96753773087	-1.15724486484474	0.155327543855202	-7.45035192163687	9.30915739755756e-14	5.1862897171036e-13
MRPS35	212.141526073591	1.2558176200892	0.239687126901703	5.23940370232822	1.61096281702742e-07	4.51034402102582e-07
MRRF	256.047893846343	1.19968999428147	0.222337711667858	5.39580076309159	6.82186132908571e-08	1.98309912375469e-07
MRS2	762.374300002601	1.02862154571529	0.0956341193644519	10.7558008851978	5.56484918579798e-27	1.5123411691863e-25
MS4A7	88.1580721101623	-1.96630619393392	0.514187176742565	-3.8241058565301	0.000131247520486278	0.000264005408672673
MSANTD2	514.386070896328	1.31665365164521	0.137594265781137	9.56910263789288	1.07837565285807e-21	1.50385986330578e-20
MSC	192.115851728758	-1.56151617444945	0.227773685203515	-6.85556004002062	7.1033679769631e-12	3.2174324564678e-11
MSH4	9.71843067643131	1.89410559597606	0.855749045081567	2.21338908510908	0.0268708325174829	0.0396591005357822
Msh5	257.42008748956	-1.46443930801605	0.24493237960424	-5.97895349884844	2.2457564758088e-09	7.74360594281349e-09
Msi2	700.217159230122	1.79570035620684	0.187523643225213	9.57586107715616	1.01012031692194e-21	1.41251551953576e-20
MSMP	23.987687142952	-7.66613034684086	0.981997620315099	-7.80666896563455	5.87192317847597e-15	3.73231084013708e-14
MSRA	1372.92153383778	-1.12152439824219	0.122201322147781	-9.17767810143573	4.40486509726174e-20	5.06773634450861e-19
Msrb3	848.518894826974	1.8875414102697	0.18436444784455	10.2380986808325	1.3384066959754e-24	2.73042066279757e-23
MSS51	54.4383846518959	1.01906154073765	0.289367848063511	3.5216819959693	0.000428818206471767	0.000810030904083105
MSTN	16.0283967389217	3.3437480785635	0.701785347744156	4.76463079389127	1.89199759459177e-06	4.72216566607345e-06
MSX2	65.3048300084575	1.03033820348885	0.370208942243868	2.78312619150656	0.0053837861677533	0.00881087337295258
MTAP	557.246141977033	1.01459056206344	0.19222658359989	5.27809704080921	1.30532337838036e-07	3.69361372447511e-07
MTCH1	13353.1761744626	-1.33003027598214	0.135326269740294	-9.8283229009018	8.50228308130106e-23	1.37520629186722e-21
MTCH2	1848.87097055883	-1.20298351096482	0.13696422146632	-8.7831953344154	1.58894880130696e-18	1.52376623826083e-17
MTCP1	192.059367903725	3.23795383014419	0.217668093867497	14.8756474713986	4.74373529793841e-50	1.04240194789841e-47
MTERF1	152.075443313373	1.95602125497325	0.216206678201597	9.04699739732093	1.46953533550873e-19	1.59185862892925e-18
MTF2	314.84898887261	1.31778847110485	0.173637580521815	7.58930449931772	3.21627136739192e-14	1.87538613241935e-13
Mtfr1	482.654469893761	1.88093669314287	0.287191144981175	6.54942440257398	5.77592703024244e-11	2.35726478055689e-10
MTHFS	234.011696653887	-1.03085293269191	0.239203740922201	-4.30951844113169	1.63610416022486e-05	3.67663319102684e-05
MTHFSD	301.072792362298	-1.06878026045571	0.190283988296818	-5.61676402739965	1.94566849523686e-08	6.01452427526795e-08
MTIF2	728.26959327689	1.19240767538239	0.12395001865342	9.62006854324491	6.57873104257521e-22	9.38428206920464e-21
MTM1	244.800243490621	1.67122666305075	0.225970711120399	7.3957667113784	1.40594653326043e-13	7.65260777587119e-13
MTMR6	942.028231617337	1.12445707504293	0.130738070253011	8.60083885946014	7.91355304789865e-18	6.96773171051958e-17
MTO1	204.097956555261	1.18407511850348	0.159116432618933	7.44156401079711	9.95001489460638e-14	5.51138383539198e-13
Mtpn	2371.32032885969	1.17182755525119	0.255663567056397	4.58347495008036	4.57311691640792e-06	1.09552537623714e-05
Mtr	319.414203948958	1.66334753009614	0.147786308738558	11.255085429048	2.1861417240677e-29	7.52287069342492e-28
