	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
Usp48	1934.54191809757	0.639446905681012	0.0929186712595977	6.88179132366749	5.91045529138319e-12	2.69536386872387e-11	NOT
USP49	117.90267333606	1.24487308352256	0.228128126572183	5.45690311066779	4.84510556509326e-08	1.431292755949e-07	UP
Usp5	3605.29493983445	-0.667285863661006	0.0738422821330578	-9.03663652294238	1.61566527887773e-19	1.74278845159167e-18	NOT
USP50	37.5886697904139	-0.569445642662607	0.33759766435439	-1.686758241505	0.0916498480067238	0.122715700038251	NOT
USP53	1534.92088464889	1.37969888221287	0.104875157608553	13.1556310729239	1.57959125553177e-39	1.53780206915125e-37	UP
Usp54	1564.94522058534	0.706449960616026	0.137020089425114	5.15581301676296	2.52532799764529e-07	6.9501870208946e-07	NOT
USP6NL	299.992818813845	2.04893556101839	0.20549477384948	9.97074291786703	2.04691948676908e-23	3.59016140769465e-22	UP
USP7	2858.90664405873	0.487535673814241	0.0927165623552141	5.25834501872926	1.45357613412444e-07	4.08979478600735e-07	NOT
USP8	2658.51876925906	0.497051886181603	0.0883757138212474	5.62430406148642	1.86257328312747e-08	5.76925135744398e-08	NOT
USP9X	3178.76621543296	1.07969268153459	0.100533369537064	10.7396448214793	6.62989535648763e-27	1.79228559531622e-25	UP
USPL1	434.353918356023	0.532276171338589	0.123441601398663	4.31196748347074	1.61808234233385e-05	3.64092197041826e-05	NOT
Ust	1508.94195322612	1.2378284049434	0.206935407435782	5.98171390909763	2.20801841234619e-09	7.62544661398946e-09	UP
UTP11	533.545140501691	0.806448496470684	0.134698049567541	5.98708369616228	2.13636863474965e-09	7.38961599723839e-09	NOT
UTP14A	543.533320330231	0.650679017415803	0.151880058582817	4.28416359255616	1.83427915077087e-05	4.09980847096157e-05	NOT
UTP15	399.409337721733	1.08942127148381	0.125547214956834	8.67738302166538	4.04979410608154e-18	3.71239171273816e-17	UP
UTP18	1425.99296557346	0.284003289216868	0.0768099225926287	3.6974817787946	0.000217748843830454	0.00042602552986518	NOT
