category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: parasitic	mmu05143	African trypanosomiasis	1/270	39/10692	0.0256410256410256	1.01538461538462	0.0154916792254202	0.631861720551957	0.801254437125461	0.684929614215335	17874	1
Environmental Information Processing	Signal transduction	mmu04022	cGMP-PKG signaling pathway	4/270	172/10692	0.0232558139534884	0.92093023255814	-0.168260559014535	0.635574456501821	0.802167026363889	0.685709715224519	14679/18127/11933/231991	4
Metabolism	Amino acid metabolism	mmu00260	Glycine, serine and threonine metabolism	1/270	40/10692	0.025	0.99	-0.0101983503911725	0.641192175395754	0.802167026363889	0.685709715224519	20425	1
Metabolism	Amino acid metabolism	mmu00350	Tyrosine metabolism	1/270	40/10692	0.025	0.99	-0.0101983503911725	0.641192175395754	0.802167026363889	0.685709715224519	21823	1
Cellular Processes	Cellular community - eukaryotes	mmu04540	Gap junction	2/270	86/10692	0.0232558139534884	0.92093023255814	-0.118494826152333	0.643348722486475	0.802167026363889	0.685709715224519	14679/18595	2
Organismal Systems	Digestive system	mmu04970	Salivary secretion	2/270	87/10692	0.0229885057471264	0.910344827586207	-0.135143496927657	0.64960799022381	0.80408932425668	0.687352937019133	17105/11933	2
Human Diseases	Cancer: specific types	mmu05219	Bladder cancer	1/270	41/10692	0.024390243902439	0.965853658536585	-0.0352578988427365	0.650287003845167	0.80408932425668	0.687352937019133	21825	1
Genetic Information Processing	Folding, sorting and degradation	mmu03060	Protein export	1/270	42/10692	0.0238095238095238	0.942857142857143	-0.0597210321631723	0.659152134721311	0.809038506916823	0.691583605347479	67604	1
Metabolism	Lipid metabolism	mmu00590	Arachidonic acid metabolism	2/270	89/10692	0.0224719101123595	0.889887640449438	-0.167892851057098	0.661865215533326	0.809038506916823	0.691583605347479	12408/18783	2
Human Diseases	Neurodegenerative disease	mmu05016	Huntington disease	7/270	308/10692	0.0227272727272727	0.9	-0.286621345868751	0.665010483235344	0.809038506916823	0.691583605347479	69590/14775/19181/13417/19173/231991/432611	7
Organismal Systems	Immune system	mmu04672	Intestinal immune network for IgA production	1/270	43/10692	0.0232558139534884	0.92093023255814	-0.0836191576241161	0.667793348207249	0.809038506916823	0.691583605347479	14961	1
Human Diseases	Cancer: overview	mmu05204	Chemical carcinogenesis - DNA adducts	2/270	90/10692	0.0222222222222222	0.88	-0.184002665045064	0.667864002354156	0.809038506916823	0.691583605347479	12408/13078	2
Organismal Systems	Excretory system	mmu04962	Vasopressin-regulated water reabsorption	1/270	44/10692	0.0227272727272727	0.9	-0.106981289766999	0.676216279560808	0.813353633590092	0.695272268911347	231991	1
Organismal Systems	Nervous system	mmu04726	Serotonergic synapse	3/270	137/10692	0.0218978102189781	0.867153284671533	-0.251882211682459	0.676884903121956	0.813353633590092	0.695272268911347	14679/21990/18783	3
