	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
Tor1b	0.0254594458653213	3.77197785120251	0.321133754449639	0.754543344215288	0.999697470640244	-5.45512526232427	NOT
Gm44797	0.0242831133637901	2.9010736291924	0.321110474028692	0.754560481294167	0.999697470640244	-5.45513204929344	NOT
Rpa2	-0.0253235861179202	2.02681978614551	-0.321059212655144	0.754598216076777	0.999697470640244	-5.45514699188904	NOT
Tas2r126	-0.010628222952013	0.0610648135462971	-0.321049117155705	0.754605647706616	0.999697470640244	-5.45514993443379	NOT
Gm13071	-0.0152170551279923	0.162449433467387	-0.32101914909213	0.754627708339954	0.999697470640244	-5.45515866872115	NOT
Panx1	-0.0202085535070834	1.55368635377098	-0.320953307358913	0.754676177757991	0.999697470640244	-5.45517785570619	NOT
Narf	0.011896641645168	5.0539191309407	0.320716938025633	0.754850190303059	0.999697470640244	-5.45524670458011	NOT
Pla2g4e	-0.0194038312073325	1.07937476452928	-0.320648403085824	0.754900647664652	0.999697470640244	-5.45526665794281	NOT
Tspear	0.00893579089274314	0.0400255611392818	0.320633841240549	0.754911368662288	0.999697470640244	-5.45527089696314	NOT
6820431F20Rik	-0.0129215011786779	6.24506974306921	-0.320614447443233	0.754925647215654	0.999697470640244	-5.45527654229496	NOT
Gm43898	-0.0143348875298912	0.160154385014094	-0.320597554228232	0.754938084810643	0.999697470640244	-5.45528145946154	NOT
Slc35a4	-0.0208645967055993	2.77712787244275	-0.320596796353948	0.75493864279575	0.999697470640244	-5.4552816800527	NOT
C2cd4d	-0.00864478888022248	0.0367363837382666	-0.320584678689896	0.754947564448551	0.999697470640244	-5.45528520701908	NOT
Ammecr1l	0.0248333886568703	3.09520993782298	0.320580511074143	0.754950632872139	0.999697470640244	-5.4552864200149	NOT
Slc23a3	-0.0133591662545277	0.0671346230907154	-0.320572376020682	0.754956622350269	0.999697470640244	-5.45528878769981	NOT
Glb1l	0.0300674034176983	2.34298128190397	0.320497664601927	0.755011629839301	0.999697470640244	-5.45531052950751	NOT
Gm38070	-0.0133706882886794	0.20398042583849	-0.320337582068113	0.75512949800861	0.999697470640244	-5.45535709853732	NOT
Abr	-0.011065290949088	4.9712732939444	-0.32031518019478	0.75514599294779	0.999697470640244	-5.4553636135721	NOT
Gm14140	0.00820322871242745	0.0724336251753621	0.320312934088059	0.755147646807362	0.999697470640244	-5.45536426677253	NOT
Ddx52	-0.0211536892221716	3.80745777341912	-0.320274622312189	0.75517585684022	0.999697470640244	-5.45537540770384	NOT
Kif3b	-0.0161985963313337	5.2926226914451	-0.320208106667084	0.755224835064603	0.999697470640244	-5.45539474712989	NOT
Zdbf2	-0.0175947831369116	3.18060844873659	-0.320170863716438	0.755252259086628	0.999697470640244	-5.45540557380517	NOT
Amer3	0.0342496041108635	1.49360559313642	0.320054629616995	0.755337850897443	0.999697470640244	-5.45543935561248	NOT
BC028471	0.00973700708645561	0.0726524594666847	0.320014927480855	0.755367087325305	0.999697470640244	-5.45545089173445	NOT
Rora	-0.0117700444286945	7.40298535021651	-0.319956313300433	0.755410251213021	0.999697470640244	-5.45546792051231	NOT
Gm12737	0.0346848009693629	1.28784230307604	0.319893820002521	0.755456272678403	0.999697470640244	-5.45548607290682	NOT
Coro2a	-0.0272863569224697	1.19883498489799	-0.319844529776909	0.755492571810523	0.999697470640244	-5.45550038776818	NOT
Cdadc1	0.0206507183832391	3.45781482609007	0.319838343244023	0.755497127844433	0.999697470640244	-5.45550218430809	NOT
Psmd13	0.0211776325204017	3.42878731938584	0.319831637049125	0.755502066591282	0.999697470640244	-5.45550413171703	NOT
Echs1	-0.0306277038811947	3.14807243485735	-0.319788332043582	0.755533958643525	0.999697470640244	-5.45551670607765	NOT
Bpifc	-0.00858553410999385	0.0189766713817907	-0.319744570314244	0.755566187538327	0.999697470640244	-5.45552941136593	NOT
Btbd1	0.0132699547125411	5.07837747261601	0.319725429111944	0.755580284479769	0.999697470640244	-5.45553496807325	NOT
Gm43011	0.0338129683233472	5.20972903662919	0.319677765618165	0.755615387670584	0.999697470640244	-5.45554880341369	NOT
Gm45399	-0.0292585924376372	0.513292246809257	-0.319656215048542	0.755631259416252	0.999697470640244	-5.45555505826219	NOT
Mad2l1	0.01973477318183	2.93799621016916	0.319622937551352	0.755655768141995	0.999697470640244	-5.4555647159309	NOT
9330154K18Rik	-0.00738204405819186	0.0165540534869229	-0.31962280530914	0.755655865538349	0.999697470640244	-5.45556475430777	NOT
Vmn1r63	-0.00832295011556683	0.0142721401315346	-0.319598472803082	0.755673786498783	0.999697470640244	-5.45557181537052	NOT
Ndufaf8	0.0196444168598369	0.849403284178583	0.319577677466262	0.755689102443939	0.999697470640244	-5.45557784956399	NOT
