ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
MF	GO:0061134	peptidase regulator activity	11/656	279/28409	0.039426523297491	1.70742088469272	1.82562844605171	0.0605032175664985	0.380846818953039	0.35006686565439	Thbs1/Reck/Birc5/Ctsk/Serpinf1/Wfdc10/Serpinb6a/Ctss/Spock1/Timp3/Adrm1b	11
MF	GO:0005501	retinoid binding	3/656	39/28409	0.0769230769230769	3.3312617260788	2.23980882127127	0.0606909863466967	0.380846818953039	0.35006686565439	Crabp1/Akr1b8/Cyp26b1	3
MF	GO:0061630	ubiquitin protein ligase activity	13/656	349/28409	0.0372492836676218	1.61313246907541	1.77190517642988	0.0632062659051135	0.380846818953039	0.35006686565439	Traip/Ring1/Ppp1r11/Trim12c/Birc5/Sh3rf3/Herc6/Trim12a/Trim43a/Trim45/Znrf3/G2e3/Trim60	13
MF	GO:0003777	microtubule motor activity	4/656	65/28409	0.0615384615384615	2.66500938086304	2.06614156636428	0.0633355187517806	0.380846818953039	0.35006686565439	Kif14/Kif11/Dnah8/Dnai2	4
MF	GO:0003756	protein disulfide isomerase activity	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Qsox2/Pdia5	2
MF	GO:0004550	nucleoside diphosphate kinase activity	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Nme7/Cmpk2	2
MF	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Galnt12/Galnt17	2
MF	GO:0004675	transmembrane receptor protein serine/threonine kinase activity	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Tgfbr3/Bmpr1b	2
MF	GO:0005520	insulin-like growth factor binding	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Igfbp4/Itga6	2
MF	GO:0005521	lamin binding	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Pkp1/Tor1aip1	2
MF	GO:0008199	ferric iron binding	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Trf/Th	2
MF	GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Qsox2/Pdia5	2
MF	GO:0016918	retinal binding	2/656	18/28409	0.111111111111111	4.81182249322493	2.4871149477645	0.0638331464666056	0.380846818953039	0.35006686565439	Crabp1/Akr1b8	2
MF	GO:0033293	monocarboxylic acid binding	5/656	93/28409	0.0537634408602151	2.32830120639916	1.97260155448726	0.0643830447879912	0.380846818953039	0.35006686565439	Crabp1/Cyp26b1/Nr1h4/Fabp3/Cyp4f14	5
MF	GO:0046982	protein heterodimerization activity	12/656	316/28409	0.0379746835443038	1.64454692806422	1.77139863665854	0.0645419576750946	0.380846818953039	0.35006686565439	Rragc/Itga3/Drap1/Irak3/Birc5/Itgb1/Macroh2a2/Krt1/Atf3/Tlr4/H2az2/Ddit3	12
MF	GO:0005267	potassium channel activity	6/656	123/28409	0.0487804878048781	2.11250743604997	1.90102133614392	0.0659835725545849	0.383498508155595	0.352504245938621	Kcnk9/Kcns1/Kcnq4/Kcnn1/Kcnip3/Kcnc4	6
MF	GO:0030165	PDZ domain binding	6/656	123/28409	0.0487804878048781	2.11250743604997	1.90102133614392	0.0659835725545849	0.383498508155595	0.352504245938621	Tgfbr3/Kif14/Lnx2/Slc22a21/Slc9a3/Adam17	6
MF	GO:0043495	protein-membrane adaptor activity	3/656	41/28409	0.0731707317073171	3.16876115407495	2.13651810038958	0.0684790218634485	0.395031969406311	0.363105575473902	Rragc/Alg14/Atg16l1	3
MF	GO:0043024	ribosomal small subunit binding	2/656	19/28409	0.105263157894737	4.55856867779204	2.38554018923138	0.0702824024831621	0.39833370313142	0.366140463830201	Mcts1/Eif1b	2
