SYMBOL	logFC	P.Value	padj	change
Emilin1	-1.36163412503308	4.43573187339267e-37	3.13069286432609e-35	DOWN
Emilin2	-1.88874635008876	1.33977199841442e-47	2.38108153597725e-45	DOWN
EMILIN3	-0.880807465203058	2.52382346432793e-08	7.35894839341794e-08	NOT
EML1	0.215786161042518	0.0809925252024595	0.106291880717214	NOT
EML2	-0.535844922125493	0.000207188627548642	0.000390773487401869	NOT
EML3	0.229838951513806	0.13921229276545	0.174189543691844	NOT
Eml4	0.755167476009952	2.49144694053037e-09	8.15970999550699e-09	NOT
EML5	1.10656407703765	8.29944576460365e-05	0.000164373153160135	UP
EML6	1.73637550795728	3.0335924086305e-18	2.6811576764355e-17	UP
EMP1	0.10828033067867	0.500269327999195	0.551818803358717	NOT
EMP2	-0.0801409184784761	0.327540282215655	0.377996143245433	NOT
EMP3	-1.53597374305268	6.5405024941234e-20	6.97606307236546e-19	DOWN
Emsy	0.89737833447681	1.19037455358154e-16	8.69268071281249e-16	NOT
Emx2	0.0925304651592034	0.507988496954058	0.559454854305608	NOT
EN1	-0.714804348471742	0.523009298280486	0.574154212914747	NOT
