	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gm15172	0.0587883849692079	0.0588277306729421	1.4254373148037	0.184143068844342	0.999789400686269	-4.53032562546542
Gm49658	-0.219776331285646	0.966692416487845	-1.42542725360924	0.184145900666982	0.999789400686269	-4.53033478861424
Gm38236	0.117109127342072	1.20697407548869	1.42532289235101	0.184175276366813	0.999789400686269	-4.5304298326046
Gm13525	0.0488673037428876	0.0462499363586846	1.42527738932924	0.184188085849741	0.999789400686269	-4.53047127193238
Sema7a	0.0834163131895949	3.76104421440108	1.42504007567325	0.184254903960122	0.999789400686269	-4.53068737994039
Slc37a2	0.128101104097864	4.25861855875766	1.42493434677667	0.184284679682451	0.999789400686269	-4.53078365467018
Mtmr3	0.055498336171529	6.23218524609519	1.42468891769392	0.184353814061875	0.999789400686269	-4.5310071221872
Dnaja4	-0.0952049702711593	3.06697540518403	-1.42447527751994	0.184414011907608	0.999789400686269	-4.53120162763551
Rnf24	0.123831144010483	3.70359832068478	1.42427109647743	0.184471560106351	0.999789400686269	-4.53138750575605
Dsg1a	-0.745987339299594	3.40049438867314	-1.42406440989927	0.184529830091107	0.999789400686269	-4.53157564947558
Irx3	-0.161830686444615	1.82666775729906	-1.42400185914152	0.184547467769327	0.999789400686269	-4.53163258545799
Acnat1	0.151379760171073	2.06971442388734	1.42345760766596	0.184700993158693	0.999789400686269	-4.53212792332937
Srr	0.0867726891276834	4.07299195156623	1.42341618948967	0.184712681080597	0.999789400686269	-4.53216561473799
Cxcr4	0.178918992823394	2.64131657420502	1.42338572087126	0.184721279515991	0.999789400686269	-4.53219334142337
Slc19a1	0.0987459574075041	4.43961782865413	1.42317629800723	0.184780389201265	0.999789400686269	-4.53238390881242
Brd8dc	-0.139483650504401	1.28789985522583	-1.42277684818739	0.184893178801182	0.999789400686269	-4.53274735000774
Gm6580	-0.10875172394719	0.494683074689584	-1.42276917229685	0.184895346758727	0.999789400686269	-4.53275433338548
Chmp1a	-0.0687605536382826	4.47002706421415	-1.42266562688076	0.184924593961819	0.999789400686269	-4.53284853493156
Gm43570	-0.102826978518805	0.225653749125095	-1.42238630823039	0.185003509350464	0.999789400686269	-4.53310262869539
Gm36501	-0.136222826955073	1.06099313405218	-1.42238154402578	0.185004855621556	0.999789400686269	-4.53310696240618
Trmu	-0.103796148340727	2.62832891996512	-1.42218763068287	0.185059658832058	0.999789400686269	-4.53328334675171
Fam217a	0.100108976534578	0.393756955612911	1.42201527451149	0.185108381238626	0.999789400686269	-4.5334401111767
Gm17121	-0.0467363332144926	0.0317833260438813	-1.42091279304417	0.185420294388096	0.999789400686269	-4.53444260489707
Gm17222	-0.0467363332144926	0.0317833260438813	-1.42091279304417	0.185420294388096	0.999789400686269	-4.53444260489707
Tigar	0.127606451679503	2.4151409972893	1.42071352916935	0.185476717742441	0.999789400686269	-4.53462374983266
6430511E19Rik	-0.0809619715882752	3.60328511675233	-1.4206702275115	0.185488980931038	0.999789400686269	-4.5346631121925
Lim2	0.381440901618267	1.70915991518828	1.42059202336174	0.185511130384819	0.999789400686269	-4.53473420012274
Eef1akmt1	-0.122230604270495	1.90158400674114	-1.42047260248935	0.185544957838654	0.999789400686269	-4.5348427499603
Mogs	-0.0928384510066749	3.16545167435448	-1.42017510897509	0.185629249455567	0.999789400686269	-4.53511313974983
Thap11	-0.100886691704939	3.28792255400855	-1.41987826717063	0.185713388944852	0.999789400686269	-4.53538290517727
Sgsm3	0.153511974186363	2.69430429137078	1.4197853495481	0.185739733023094	0.999789400686269	-4.53546734075759
Gm44646	-0.11328970230002	0.295087106460953	-1.41964113571141	0.185780626951963	0.999789400686269	-4.5355983837344
Eml6	0.16184902950476	3.37805076830358	1.41929770571004	0.185878042411311	0.999789400686269	-4.53591041830091
Pbx4	0.0694473954204394	0.208596544228118	1.41907493303883	0.185941256149828	0.999789400686269	-4.53611280277982
Gm9001	-0.124122860558543	1.15594827404563	-1.41894453652939	0.185978265824194	0.999789400686269	-4.53623125700762
2210408F21Rik	0.125391151374465	2.61334063431743	1.41891221111161	0.185987441528172	0.999789400686269	-4.53626062096621
Tmem223	0.148300021097644	3.72245367127713	1.41884426910915	0.186006728404845	0.999789400686269	-4.53632233729483
Gm37999	-0.0723103143911368	0.0598042302280308	-1.41851990435088	0.186098830179104	0.999789400686269	-4.53661695666199
Gm38057	0.103351029582161	2.60728072893213	1.4184463703359	0.186119715201767	0.999789400686269	-4.53668374202682
Dusp28	0.099055041899672	1.63897404789222	1.41834659278828	0.186148057066788	0.999789400686269	-4.5367743592546
Gapdh	0.136782883408066	6.09554379207144	1.41816178911008	0.186200560360377	0.999789400686269	-4.53694218701356
Mab21l2	-0.402687246504517	3.10165660898587	-1.41814044214387	0.18620662591184	0.999789400686269	-4.53696157226358
Pqlc2	0.131553708262083	2.51784502691756	1.41768520207888	0.186336018419843	0.999789400686269	-4.53737493776715
Gm29848	-0.0673613719365014	0.132327312002708	-1.41767729955222	0.186338265224585	0.999789400686269	-4.53738211272564
Gm43483	-0.0937054619192177	1.62914364098569	-1.4175708809217	0.186368523856636	0.999789400686269	-4.53747873141246
Fzd6	-0.112805938607998	4.60360164837731	-1.4173153040678	0.18644121061449	0.999789400686269	-4.53771075569903
Gm18329	-0.0487330824372843	0.0572352293407062	-1.41681415850035	0.186583807877117	0.999789400686269	-4.53816564933413
Pdzd3	-0.0719523734328344	0.0908264119640902	-1.41676681721837	0.186597283288717	0.999789400686269	-4.53820861664266
Gm15899	0.146248196602439	1.31187022540762	1.41670457619724	0.186615001082654	0.999789400686269	-4.53826510582468
Gm11627	-0.0613713699041849	0.245144617444478	-1.41661460526584	0.186640615123042	0.999789400686269	-4.53834675983403
Ddr1	-0.165761486423957	5.08023269606455	-1.41660212742792	0.186644167705045	0.999789400686269	-4.53835808398626
Cd93	0.148669883907868	5.65494535921746	1.41641386645629	0.186697774727921	0.999789400686269	-4.53852893168678
